,error
996,1.8398783361613216
997,1.2510419401417694
998,1.3650251367661728
999,4.608695652173913
1000,3.6442581300813006
1001,11.27546033833734
1002,2.9905002192198804
1003,1.3774982442220407
1004,1.2676604441086057
1005,1.4023291222583434
1006,1.7867040140457555
1007,2.169230769230769
1008,1.3427895911505943
1009,1.6109167609836403
1010,2.4046777459983266
1011,1.5298776097912168
1012,1.350390435712816
1013,37.4078431372549
1014,3.9167568631309653
1015,1.0587271590324359
1016,1.0203354147563863
1017,2.246800731261426
1018,2.0100295462647266
1019,33.86045326184287
1020,1.1426950602199337
1021,1.2305908514504915
1022,1.079234149271346
1023,1.1156445874490402
1024,1.1491167608748283
1025,2.318355282097976
1026,1.600326746126001
1027,1.0844731247264678
1028,1.6563381008599611
1029,1.0292450305504857
1030,6.222222222222222
1031,1.843123363992219
1032,1.2136699483512734
1033,6.7158057702593
1034,2.9743589743589745
1035,7.156819899677043
1036,2.1733333333333333
1037,3.3758913065685974
1038,5.125301233926641
1039,1.4537864065481914
1040,1.239669552131218
1041,1.2648733919003454
1042,2.121675727893771
1043,1.0292887029288702
1044,2.2757527733755945
1045,1.1026526681251783
1046,1.4895433152436985
1047,1.3903456149231548
1048,2.789948006932409
1049,2.005062619192733
1050,1.2786022593576674
1051,13.296173380516695
1052,1.0260948600845519
1053,1.0413166021603981
1054,2.1354166666666665
1055,1.420878484572752
1056,1.0452598223116298
1057,2.7948717948717947
1058,3.603843399379327
1059,15.708808909209559
1060,2.206255935422602
1061,29.47900117311882
1062,1.0387181022855627
1063,6.757194411886605
1064,1.6647880757009013
1065,1.0283215417335823
1066,20.98507462686567
1067,1.6461926388231032
1068,1.187683325641546
1069,1.5756676918588395
1070,1.1361621477687451
1071,1.5903871841982167
1072,1.0307761220424803
1073,1.1438818319108037
1074,1.0850185877830785
1075,1.2361587468657134
1076,1.4664579002394715
1077,1911.3
1078,1.3141188408109128
1079,1.124006227640122
1080,2.955286105991819
1081,1.0151500450323445
1082,1.1493341603830274
1083,2.142697018339862
1084,4.6592693137960355
1085,1.4497173718882435
1086,3.5925949569103097
1087,1.2749632718828492
1088,9.041666666666666
1089,1.3393948233382125
1090,1.1081467322895493
1091,1.503135852381693
1092,2.204779763042232
1093,1.7272789470083312
1094,2.328863134769888
1095,2.169179950904147
1096,1.46424927147204
1097,1.0759198882161156
1098,1.2671348117808736
1099,1.7195655253393551
1100,16.38095238095238
1101,1.8807160048134777
1102,1.4963026985498895
1103,1.9789903332722754
1104,2.263091809799403
1105,61.73873873873874
1106,1.2881355932203389
1107,1.5575250529933309
1108,1.1733552205278845
1109,1.2634966244817696
1110,1.0643229678029118
1111,1.0806286964412561
1112,3.9399014901547003
1113,1.1305592576139
1114,204.80886859462203
1115,2.0887602363739988
1116,1.7591825043806444
1117,1.076807159273252
1118,1.0908889170742626
1119,1.2426335727013764
1120,1.7746137534080582
1121,2.3999800607070636
1122,5.723178233593153
1123,1.7887068745113588
1124,1.258321470995439
1125,2.5695147549080133
1126,4.843881856540085
1127,3.0334744203165256
1128,14.872210953346856
1129,15.937595129375952
1130,3.7206347718056305
1131,1.2751571403395405
1132,1.0495049504950495
1133,1.637799924442323
1134,39.666666666666664
1135,325.0
1136,4.062081806016175
1137,11.985074626865671
1138,16.93525179856115
1139,2.7668614032990675
1140,1.344915672443322
1141,7.882615633210521
1142,16.169926516287063
1143,1.1897898378291907
1144,1.739983305509182
1145,5.9896769634211156
1146,3.5697430898510736
1147,2.738727805269661
1148,11.0
1149,1.1845187023166293
1150,2.0174446818190743
1151,1.1404041137427192
1152,73.5
1153,1.4689739608217869
1154,1.945884069638724
1155,1.3576895601591998
1156,1.123951789050539
1157,1.6136370820732748
1158,1.2855492480227795
1159,1.299570224730116
1160,1.1202628475147431
1161,13.345010615711253
1162,1.1930966660433306
1163,1.0897517258458966
1164,1.1153152717905699
1165,1.5772381795331345
1166,1.629519405425169
1167,1.0829292662141115
1168,1.0444170670136181
1169,3.7873392482159383
1170,2.642582176693257
1171,9.866386884942656
1172,14.135103598347472
1173,3.8300822671234473
1174,1.4198040791076811
1175,5.571318469584366
1176,148.37498993693814
1177,1.1534653465346534
1178,2.9262183953206535
1179,75.30627197644942
1180,1.1476386625982713
1181,2.2599166042980863
1182,1.0549271778839746
1183,1.1300342641520345
1184,1.1120894319213304
1185,1.0757347229277054
1186,8.031175529994327
1187,4.159677101791691
1188,6.204906105873781
1189,5.145292596494588
1190,1.239929209506152
1191,6.006829264218827
1192,13.618587755825287
1193,4.893410326086957
1194,1.134670333325693
1195,4.1037936837335
1196,1.4909860103727453
1197,1.0042488217575525
1198,1.2478248735129283
1199,1.3306221782396888
1200,8.116
1201,1.3153271230539234
1202,3.3230769230769233
1203,3.1621459707869244
1204,1.0838539194627612
1205,1.4952013329084946
1206,1.098397763081976
1207,3.9504950495049505
1208,1346.15625
1209,12.770960817593853
1210,1.601959701813409
1211,1.1835526796515357
1212,2.8739685427982176
1213,3.2959310177018066
1214,1.1759220476490175
1215,1.5550501513592234
1216,1.3695205980135832
1217,1.236542404094487
1218,1.2991130734965721
1219,3648.3333333333335
1220,1.1584306969439122
1221,2.590406856670797
1222,5.556096756827344
1223,1.0175699012615842
1224,1.4632408867451998
1225,1.5458174561237574
1226,1.4430334720591897
1227,111.56666666666666
1228,1.1077856840560187
1229,1.7255149625440143
1230,1.1150598313842806
1231,3.291994670110814
1232,8.5
1233,3.187739323875862
1234,2.329121982924163
1235,62.22776572668113
1236,50.477247502774695
1237,2.52813518541276
1238,13.0
1239,1.6204578423027585
1240,2.0619407780908596
1241,1.9514814787821124
1242,38.259438305709025
1243,1.06513228140942
1244,1.930163240250344
1245,1.8314803709000322
1246,2040.2189781021898
1247,2.055647155812036
1248,17.5
1249,3.1841882543420663
1250,3.8942929388926455
1251,1.180967174917222
1252,5.896307272577052
1253,4.73444347063979
1254,2.3215150187664975
1255,4.665297851825385
1256,2.951840836117976
1257,1.9
1258,1.383792418152477
1259,1.9449401523394994
1260,3.361928975641762
1261,21.096385400054732
1262,1.3624428286767065
1263,1.017283908277568
1264,4.0
1265,1.3518959834771196
1266,1.1852875280059747
1267,1.6154090573291922
1268,1.3444750339848526
1269,1.0804630830718935
1270,1.7757628669703058
1271,3.5232914495862704
1272,1.8410191057633414
1273,1.0236707262735778
1274,4.133333333333334
1275,1.0895012005705746
1276,1.0548913271216522
1277,17.0
1278,3.878787878787879
1279,1.247448101510444
1280,21.525925925925925
1281,1.5211593439662956
1282,2.6839164469936008
1283,3.4046511627906977
1284,5.073170731707317
1285,1.2393550112295704
1286,1.5316860010602917
1287,8.42985256117951
1288,1.2490402886723886
1289,6.613445546940907
1290,2.3155893536121672
1291,2.587133328971789
1292,1.058090049889344
1293,1.874170135886643
1294,1.0187705653604546
1295,10.600625948406677
1296,3.716234750595539
1297,1.3111731104721809
1298,1.1469407246679437
1299,10.955303432413306
1300,8.053675063502574
1301,38.094339622641506
1302,1.7105263157894737
1303,1.0622070929412049
1304,1.0490211500621585
1305,1.7983506619792056
